id_venta,fecha_venta,tipo_dona,cantidad,precio_unitario,total,metodo_pago,id_empleado,sucursal
1,2025-04-17 02:42:08,Glaseada,11,1.5,16.5,Tarjeta de Crédito,106,Sur
2,2025-04-17 03:21:11,Boston Cream,4,2.5,10.0,Tarjeta de Débito,102,Valle
3,2025-04-17 03:24:24,Mapple,3,1.75,5.25,Efectivo,104,Norte
4,2025-04-17 03:27:57,Glaseada,1,1.5,1.5,Tarjeta de Débito,106,Centro
5,2025-04-17 03:48:19,Azúcar y Canela,9,1.25,11.25,Efectivo,104,Norte
6,2025-04-17 03:58:33,Mapple,1,1.75,1.75,Transferencia,108,Centro
7,2025-04-17 04:03:38,Glaseada,11,1.5,16.5,Tarjeta de Crédito,102,Sur
8,2025-04-17 04:08:33,Rellena de Fresa,7,2.25,15.75,Tarjeta de Crédito,108,Sur
9,2025-04-17 04:09:25,Rellena de Fresa,1,2.25,2.25,Efectivo,105,Valle
10,2025-04-17 04:18:03,Azúcar y Canela,3,1.25,3.75,Tarjeta de Crédito,102,Sur
11,2025-04-17 04:19:44,Glaseada,1,1.5,1.5,Transferencia,108,Centro
12,2025-04-17 04:21:11,Chocolate,3,2.0,6.0,Efectivo,105,Valle
13,2025-04-17 04:23:27,Mapple,7,1.75,12.25,Tarjeta de Crédito,102,Valle
14,2025-04-17 04:34:06,Glaseada,10,1.5,15.0,Tarjeta de Crédito,107,Norte
15,2025-04-17 04:35:44,Chocolate,1,2.0,2.0,Efectivo,106,Valle
16,2025-04-17 04:50:27,Boston Cream,10,2.5,25.0,Tarjeta de Crédito,105,Valle
17,2025-04-17 05:03:12,Glaseada,3,1.5,4.5,Efectivo,107,Sur
18,2025-04-17 05:03:21,Azúcar y Canela,12,1.25,15.0,Tarjeta de Débito,106,Centro
19,2025-04-17 05:07:44,Mapple,6,1.75,10.5,Transferencia,105,Norte
20,2025-04-17 06:07:56,Chocolate,1,2.0,2.0,Tarjeta de Crédito,107,Centro
21,2025-04-17 06:14:37,Glaseada,8,1.5,12.0,Tarjeta de Crédito,103,Sur
22,2025-04-17 06:25:36,Glaseada,9,1.5,13.5,Efectivo,107,Sur
23,2025-04-17 06:53:43,Mapple,12,1.75,21.0,Efectivo,101,Centro
24,2025-04-17 06:55:39,Mapple,8,1.75,14.0,Tarjeta de Crédito,103,Sur
25,2025-04-17 06:59:18,Glaseada,6,1.5,9.0,Tarjeta de Débito,105,Sur
26,2025-04-17 07:04:19,Rellena de Fresa,11,2.25,24.75,Tarjeta de Débito,106,Sur
27,2025-04-17 07:24:21,Azúcar y Canela,7,1.25,8.75,Tarjeta de Débito,101,Norte
